"advert_name","advert_price","advert_height","advert_age"
"EX Racehorse","£750","16.2 hh","7 years"
"Smart Hunting Pony","£3,500","14.2 hh","13 years"
"Young Fun Event Horse- “Swift”","£6,500","15.2 hh","4 years"
"KWPN Grey mare","£7,500","16.3 hh","8 years"
"ROTSPON / SHERLOCK HOLMES/ DENVER LG","Price on Application","16 hh","4 years 3 months"
"Skewbald Yearing Filly by Sempers Spirit","£4,000","16.1 hh","1 year 1 month"
"Marvin - purebred Irish Draught gelding!","£7,950","16.2 hh","4 years"
"Tango - the most beautiful Irish Draught gelding!","£7,950","16.2 hh","4 years"
"PJ - stunning purebred Connemara gelding!","£5,950","14.3 hh","4 years"
"Gorgeous Lucky Lisa!","£4,950","14.1 hh","4 years"
"Benny - a real sweetheart!","£4,950","13.1 hh","4 years"
"Top Class Sec C","£3,250","13.2 hh","5 years"
"KWPN Colt Foal By Governor","Price on Application","16.2 hh","3 months"
"He Has It All!","Price on Application","13.2 hh","6 years"
"PERFORMANCE IRISH DRAUGHT MARE","£15,000","16.1 hh","10 years"
"14.1 welsh D","£3,250","14.1 hh","17 years"
"Apache - lovely allrounder mare!","£5,500","16 hh","4 years"
"Betty - purebred Irish Draught mare!","","15.3 hh","8 years"
"Freddy - experienced safe family hunting horse!","£9,500","16 hh","9 years"
"Exceptional Irish Cob","£6,000","16.1 hh","6 years"
"Bart - a hunting horse for the whole family","£9,500","16.1 hh","7 years"
"Jenny - potential Show Cob","£4,950","15 hh","5 years"
"Gorgeous Jasper!","£5,950","14.1 hh","4 years"
"Latin Graff","£9,500","16.2 hh","5 years"
"SJ schoolmaster","Price on Application","17 hh","10 years"
"Footloose (Numero Uno) x Ardoss (TB)","£7,500","16 hh","5 years"
"Hazel","£2,400","13.3 hh","17 years"
"Pattens Lockdown Lilly. Filly born 29.05.20","£3,250","16.2 hh","6 months"
"Pattens Lockdown Leo","£3,250","16.2 hh","6 months"
"Stunning 2 year old filly","£7,000","16.2 hh","2 years"
"Smart 15.1 Irish gelding","SOLD","15.1 hh","14 years"
"Marley","£5,200","16.1 hh","12 years"
"16hh Super Hunter","£7,500","16 hh","8 years"
"17.2 Hunter *Once in a lifetime horse*","Price on Application","17.2 hh","14 years"
"Bold Hunter","£7,500","17.1 hh","11 years"
"4 year old Potential BYEH 15.2hh Gelding","£12,500","15.2 hh","4 years"
"Top event/sj","£15,000","16.2 hh","4 years"
"Serious BE/BD/Hunter","£12,000","17.3 hh","8 years"
"BOMBPROOF BAY COB","SOLD","15.2 hh","13 years"
"128 Jumping Pony","£6,000","12.2 hh","9 years"
"Oreo - perfect hack!","£4,950","15 hh","5 years"
"Desie - lovely and easy cob!","£4,950","15.1 hh","5 years"
"Cherry - lovely Cob!","£4,500","15.1 hh","8 years"
"Nemo - supercob!","£4,950","15 hh","5 years"
"Ivy - Superstar, has all it takes to win!","£12,500","16.1 hh","12 years"
"Major - traditional Irish Draught!","£7,950","16.1 hh","4 years"
"Kenny - quality Allrounder!","£5,500","14.2 hh","4 years"
"Sam - stunning 5 year old Connemara!","£5,950","14.2 hh","5 years"
"Exquisite KWPN 2YO Filly","Price on Application","16.3 hh","2 years 2 months"
"Pure Irish Draught Colt","SOLD","16 hh","1 year 1 month"
"Genuine Schoolmistress","SOLD","15.2 hh","15 years"
"Stunning 2yr old.","£3,750","16.2 hh","2 years"
"Lisa - beautiful purebred Connemara mare!","£4,950","14.1 hh","4 years"
"Show Cob","£2,000","13.2 hh","8 years 1 month"
"Stunning Mare showing potential to excel","£7,500","16.1 hh","6 years"
"Patsy - lovely mare!","£3,950","14.2 hh","5 years"
"Midnight - stunning top quality mare!","£5,500","15.2 hh","5 years"
"16.1 Dark Bay Mare","£1,500","16.1 hh","13 years"
"PB Cleveland Bay Filly","SOLD","16 hh","3 months"
"Connemara x tb","SOLD","16 hh","5 years"
"YOUNG PROSPECT","£5,500","16.1 hh","4 years"
"Masshill Echo","£5,500","14.2 hh","10 years"
"Pete - homebred superstar!","£6,950","15.1 hh","5 years"
"Hypoallergenic American Bashkir Curly Pony","Price on Application","12.2 hh","9 years 1 month"
"TOP CLASS MW","£10,000","17.1 hh","8 years"
"Beautiful Reg 14.2hh TBxWelshCob 4yo mare","£2,750","14.2 hh","4 years"
"Potential Showjumper/WHP","£2,500","14.2 hh","4 years"
"Beautiful 14.3hh Reg Welsh Part-bred mare","£1,800","14.3 hh","11 years"
"Arab mare","£2,500","15.1 hh","13 years"
"blank canvas","Price on Application","14.2 hh","4 years"
"Stunning thoroughbred for sale","£1,250","16.1 hh","10 years 4 months"
"6yo KPWNxTrakenher","£5,000","16 hh","6 years 2 months"
"Top young horse","£32,000","16.1 hh","4 years"
"Young Sport horse","£6,500","16.1 hh","3 years 6 months"
"Dark bay mare","£7,500","15.2 hh","5 years"
