"advert_name","advert_details","advert_price"
"Exceptional Event / Show foal by Contendro-1","TB xDark brownFillyUnder 1","POA"
"STRIKING YOUNG HORSE WITH HUGE POTENTIAL","Irish Sports HorseChestnutFilly3 years16 hands","£3,500 ono"
"**CHAMPION TOP QUALITY 3 year old**","Irish Sports HorseGreyFilly3 years169 cm","£9,000 ono"
"Top Quality Irish Bred Eventers and Showjumpers always for sale","",""
"Rectory Farm 80 x 50m Arena","",""
"Corvette","HolsteinerBayMare9 years16.1 hands","POA"
"Seeking Forever Home","KWPNDark bayGelding16 years17 hands","£4,750 ono"
"BARGAIN TOP CLASS EVENT PROSPECT","Irish Sports HorseChestnutGelding5 years16.1 hands","£4,500"
"Marge","Irish DraughtMare5 years17 hands",""
"Beautiful Dressage Prospect by Glamourdale","KWPNBayMare4 years15.3 hands","£8,500 offers"
"Loads of potential","Belgian WarmbloodChestnutGelding7 years16 hands","£20,000"
"Super Talented Young Dressage Horse","OldenburgChestnutGelding7 years16.3 hands","£9,950 ono"
"Smokie","TB xGelding4 years15 hands",""
"Top Class Sport Horse Foals and Yearlings","","Prices range £4500 to £8000"
"Henry","Irish DraughtGelding7 years16.2 hands",""
"Red","Gelding16.2 hands",""
"7yo Gelding by Eldorado Van De Zeshoek X Quattro","KWPNBayGelding7 years16.1 hands","£8,000"
"Grassroots Superstar","Sport HorseBayGelding7 years16.2 hands","£15,000"
"WANTED - 15HH TO 15.2 QUALITY ALLROUNDER 5-11 YEARS","",""
"Stunning yearling","Irish Sports HorseBayGelding1 years16.2 hands","£5,000 ono"
"A TRUE DELIGHT","WarmbloodChestnutMare10 years16.1 hands","£30,000"
"Competitive 7 yo eventer for sale","Irish Sports HorseChestnutGelding7 years16.2 hands","£17,000 ono"
"Connemara x Irish Draft mare","Connemara Part BredGreyMare9 years15.1 hands","£5,500 ono"
"Top Quality KWPN mare - County Show / Dressage prospect","KWPNChestnutMare4 years17 hands","£10,000 ono"
"Super fun allrounder, PC / RC potential","Sport HorseChestnutGelding4 years15.1 hands","£5,500 neg"
"Serious Event horse / School Mistress","TB xBayMare12 years16.1 hands (LHC)","£22,000"
"Amazing Buckskin Dressage Dream Horse","WarmbloodBuckskinColtUnder 1",""
"Stunning young SJ / Eventer","Sport HorseBayGelding3 years16.2 hands","£6,500 ono"
"Schoolmaster for sale","Dutch WarmbloodBayGelding15 years17 hands","£4,500"
"HORSEBOXES WANTED","",""
"Dream allrounder top temperament","CobChestnutGelding5 years14.1 hands","£4,500"
"Perfect Allrounder / PC / RC Horse","Belgian WarmbloodBayGelding13 years16 hands","£5,500"
"Super Schoolmistres","Irish Sports HorseDapple greyMare11 years16.3 hands","£6,000"
"Stunning show / event dressage mare","BlackMare4 years15.2 hands","£4,000"
"Really smart and competitive","BayMare9 years16.2 hands","£13,000"
"Quality 3 year old gelding","","£8,000"
"SHOW PONY RIDER","",""
"Blue - 2017 gelding","Dark bayGelding3 years16.1 hands","£9,950"
"Hickstead","BayGelding4 years","£10,000"
