"advert_name","advert_details","advert_price"
"Striking Coloured Mare For Sale","Connemara Part BredColouredMare15 years15 hands","£3,250 including all tack and rugs"
"Super Section C","Welsh Section CBayGelding4 years13.3 hands","£4,500 ono"
"Rectory Farm 80 x 50m Arena","",""
"Outstanding Pony Club Pony","Welsh Section CChestnutMare11 years13.2 hands","£6,000"
"Stunning registered New Forest pony","New ForestChestnutGelding8 years13.2 hands","£3,750 ono"
"WANTED - 15HH TO 15.2 QUALITY ALLROUNDER 5-11 YEARS","",""
"EXCEPTIONAL PONY","Connemara Part BredBayGelding5 years14.1 hands","£7,500"
"PENELOPE","Welsh Section CBayMare5 years128 cm","£1,250"
"HORSEBOXES WANTED","",""
"Dream allrounder top temperament","CobChestnutGelding5 years14.1 hands","£4,500"
"SHOW PONY RIDER","",""
"Top Track 138 For The Future","Dutch WarmbloodChestnutGelding6 years13.2 hands (AHC)","£12,000"
"Recipient / Surrogate Mares WANTED","",""
"Lissyegan Lad ""Benji""","Connemara Part BredGelding3 years15.1 hands",""
"SUPER 15HH MARE","Mare6 years15 hands","£8,500"
"WAVERTON HOUSE UNAFFILIATED ODE","",""
"MERLLYN'S MERMAID JC TO MAKE TOP 148 SHOWJUMPER QUALIFIED FOR WINTER JC RI 2020","Irish Sports PonyGrey roanMare8 years14.2 hands (LHC)","POA"
"Top 138 pony","British WarmbloodBrownMare10 years13.2 hands (LHC)","POA"
"Top 138 pony School mistress","BlackMare11 years13.2 hands (LHC)","POA"
"Stunning Lead Rein Dartmoor Mare","DartmoorChestnutMare16 years11.3 hands","£2,000"
"Top Class HOYS Quality WHP/ Event pony / Allrounder","ConnemaraIron greyGelding4 years14.2 hands","£6,500"
"148cm Novice Riding Pony","Welsh Part BredBlackGelding4 years148 cm","£4,950"
"Welsh section C","Welsh Section CBlackGelding9 years","POA"
"Wanted 16 to 16.2 heavyweight cob gelding","",""
"Coppinshill Cartier","DartmoorBayGelding7 years11.3 hands",""
"Pony club / Hunting Pony","New ForestSkewbaldMare11 years14 hands","£4,500"
"128cm Competition Pony","Riding PonyChestnutGelding11 years12.2 hands","£3,500 ovno"
"14.1 Connemara Event Pony","ConnemaraGreyGelding13 years14.1 hands","£5,500"
"Fantastic pc allrounder","Welsh Section BChestnutGelding10 years12.2 hands","£4,750"
"Stunning kind natured Minature Shetland","ShetlandChestnutFilly1 years9 hands","£650 ovno"
"Annandale Royal Regatta","Welsh Section BChestnutMare8 years121 cm","£2,000"
"TOPCLASS COMPETITION PONY","ConnemaraBayMare4 years14 hands","£5,750 ono"
"COOKIE","CobGelding6 years14 hands","£5,000"
"Exceptional Dartmoor colts","DartmoorBayColt1 years12 hands","£2,000 for the pair"
"Wanted Horse to Event","",""
"153cm Roan Connemara Gelding","ConnemaraBay roanGelding9 years15 hands","€8000"
