"","title","price","age","height","source"
"1","STRIKING YOUNG HORSE WITH HUGE POTENTIAL",3500,3,16,"Horsequest"
"2","**CHAMPION TOP QUALITY 3 year old**",9000,3,16.6338582677165,"Horsequest"
"3","Seeking Forever Home",4750,16,17,"Horsequest"
"4","BARGAIN TOP CLASS EVENT PROSPECT",4500,5,16.1,"Horsequest"
"5","Beautiful Dressage Prospect by Glamourdale",8500,4,15.3,"Horsequest"
"6","Loads of potential",20000,7,16,"Horsequest"
"7","Super Talented Young Dressage Horse",9950,7,16.3,"Horsequest"
"8","7yo Gelding by Eldorado Van De Zeshoek X Quattro",8000,7,16.1,"Horsequest"
"9","Grassroots Superstar",15000,7,16.2,"Horsequest"
"10","Stunning yearling",5000,1,16.2,"Horsequest"
"11","A TRUE DELIGHT",30000,10,16.1,"Horsequest"
"12","Competitive 7 yo eventer for sale",17000,7,16.2,"Horsequest"
"13","Connemara x Irish Draft mare",5500,9,15.1,"Horsequest"
"14","Top Quality KWPN mare - County Show / Dressage prospect",10000,4,17,"Horsequest"
"15","Super fun allrounder, PC / RC potential",5500,4,15.1,"Horsequest"
"16","Serious Event horse / School Mistress",22000,12,16.1,"Horsequest"
"17","Stunning young SJ / Eventer",6500,3,16.2,"Horsequest"
"18","Schoolmaster for sale",4500,15,17,"Horsequest"
"19","Dream allrounder top temperament",4500,5,14.1,"Horsequest"
"20","Perfect Allrounder / PC / RC Horse",5500,13,16,"Horsequest"
"21","Super Schoolmistres",6000,11,16.3,"Horsequest"
"22","Stunning show / event dressage mare",4000,4,15.2,"Horsequest"
"23","Really smart and competitive",13000,9,16.2,"Horsequest"
"24","Blue - 2017 gelding",9950,3,16.1,"Horsequest"
"25","Super riding club allrounder",4950,13,16.1,"Horsequest"
"26","De Niro x Sandro Hit mare",20000,4,16.3385826771654,"Horsequest"
"27","Dolphins Rising Star",4500,1,15,"Horsequest"
"28","Butlers Cravat",6000,4,16.2,"Horsequest"
"29","SUPER 15HH MARE",8500,6,15,"Horsequest"
"30","Stunning Chestnut Gelding",6500,13,15.3,"Horsequest"
"31","***TOP CLASS 4YO IRISH DRAUGHT MARE***",4500,4,15.2,"Horsequest"
"32","Quality Event Prospect",9800,8,16.3,"Horsequest"
"33","Talented 6yo Gelding by Kasanova de la Pomme",10000,6,16.3,"Horsequest"
"34","Stunning 5yr old",30000,5,17,"Horsequest"
"35","Allrounder / Hunter",7000,10,16.1,"Horsequest"
"36","Indy May",7000,3,16.2,"Horsequest"
"37","Innovania",25000,7,16.2,"Horsequest"
"38","TOP QUALITY HOMEBRED BY MYLORD CARTHAGO",9000,3,15.3,"Horsequest"
"39","World class show jumping breeding",22500,10,17.1,"Horsequest"
"40","Total Schoolmistress",13000,12,15.2,"Horsequest"
"41","Stunning 15.3 gelding",4250,18,15.3,"Horsequest"
"42","By Breitling LS",17500,6,16.2,"Horsequest"
"43","Unbelievable Homebred Mare",7500,8,16.2,"Horsequest"
"44","By Ultimo",16500,8,17,"Horsequest"
"45","ROCKY",5000,6,14.2,"Horsequest"
"46","Cracking prospect for showing / dressage / event",4250,3,15,"Horsequest"
"47","Smart Quality Sport Horse Gelding",6000,14,17,"Horsequest"
"48","GUINNESS",7000,4,15.2,"Horsequest"
"49","Beautiful 15.1hh Allrounder",5850,12,15.1,"Horsequest"
"50","Top class yearling for sale",3500,1,16.1,"Horsequest"
"51","Fun Fab Event Mare",12000,10,16.1,"Horsequest"
"52","Hunter / Team chaser / All rounder",4000,11,17,"Horsequest"
"53","Jumping Jerry",4600,5,15.1,"Horsequest"
"54","Potential top eventer",9000,5,16,"Horsequest"
"55","POLLY",5500,5,15.1,"Horsequest"
"56","Competition Prospect",5000,6,16.2,"Horsequest"
"57","Genuine blagdon cob",6000,5,15,"Horsequest"
"58","Connemara x ish",3000,2,14.2,"Horsequest"
"59","Amazing 4yr old mare",15000,4,16.2,"Horsequest"
"60","Quality Young Horse",6000,3,16.1,"Horsequest"
"61","Experienced event horse 'LORD CLOVER'",25000,11,16,"Horsequest"
"62","SUPER RISING 3 YR OLD AMOUR G / FERRO / KOSTOLANY LINES",9500,2,16,"Horsequest"
"63","COOKIE",5000,6,14,"Horsequest"
"64","Future HOYS Maxi Cob",4700,3,15.3,"Horsequest"
"65","MOJITO KW",1550,2,15.1,"Horsequest"
